ChanceAustin,@GovMikeHuckabee Yes and you support this right? https://t.co/9d0PzQ2KbN,,Sat Aug 04 09:02:55 +0000 2018
PannuLaddi,"RT @TheLallantop: ठेले वाले पानी के सारे 572 सैंपल फेल, बर्फ वहां पर रखते हैं जहां लोगों ने सूसू की हो

https://t.co/NOtSNHuU0J https://t.c…","ठेले वाले पानी के सारे 572 सैंपल फेल, बर्फ वहां पर रखते हैं जहां लोगों ने सूसू की हो

https://t.co/NOtSNHuU0J https://t.co/gQBDNM30QN",Fri Aug 03 09:05:14 +0000 2018
vimalan08,Water shortages had caused cities to vanished for thousands of years but now India not only facing shortage but also contaminated and polluted water Media please take self interest to educate citizens India which we borrowed from future generation @TimesNow @ndtv @NewsX,,Fri Aug 03 09:03:00 +0000 2018
vimalan08,Rivers and lakes  contaminated polluted and cities are running dry Also 70% rainwater wasted into the sea Following TV channels must take suo motu to telecast and educate India Please Tele Save Water slogans Bcoz water is life  @ndtv  @CNNnews18 @republic @NewsX @MirrorNow,,Fri Aug 03 09:02:04 +0000 2018
vimalan08,Rivers and lakes  contaminated polluted and cities are running dry Also 70% rainwater wasted into the sea Following TV channels must take suo motu to telecast and educate India Please Tele Save Water slogans Bcoz water is life   @CNNnews18 @republic @NewsX @MirrorNow #SaveGanga,,Fri Aug 03 09:01:50 +0000 2018
ravageurr,"Park View Aptt, Blk 10 #Gulshan #Karachi #ptips102 @ImranKhanPTI NO RPNSE AS YET FRM  QRTR CNCRND, drinking water is being contaminated , children cdnt reach schools  @ArsalanGhumman @PTIofficial @wasimakhtar1955 #JummaMubarak @ZaraHatKay_Dawn @geonews_urdu #ElectionPakistan2018 https://t.co/1FUk9LHjSD",,Fri Aug 03 08:45:12 +0000 2018
NayramAseye,RT @BakuoroS: The future generations will never forgive us if we sit down and allow our water bodies to be contaminated due to indiscrimina…,"The future generations will never forgive us if we sit down and allow our water bodies to be contaminated due to indiscriminate dumping of waste.
#GetABin 
#UseABin @zoomlion_Gh",Fri Aug 03 08:44:01 +0000 2018
EsonaChulumanco,RT @SancoCape: More than 100 pupils from St. Matthews High were admitted to hospital after drinking suspected contaminated water which was…,"More than 100 pupils from St. Matthews High were admitted to hospital after drinking suspected contaminated water which was delivered by Amathole District Municipality. SANCO PEC member, CDE Khosi Nongqayi attended to the matter and saw to it the children got much needed care https://t.co/nPxZmXbsHe",Fri Aug 03 08:39:07 +0000 2018
jamisonervin,"@NiliMajumder @GlblCtzn @Momentum_UNFCCC @UNDP_innovation @UN_Water @WorldBankWater @ADBWater @EndWaterPoverty @WaterAidCanada @UNICEF @unicefchief While I commend this innovation to provide safe drinking water, it is no substitute for the simplest solution of all: hold polluters accountable for their actions until every last 💦 is clean. 2 billion people drink contaminated water. #IsThisDevelopment?",,Fri Aug 03 08:32:52 +0000 2018
AnamRathor,"Michigan’s list of contaminated sites is likely to grow as the state continues to test all public water systems and schools that tap well water.
https://t.co/6pD3LW1Hvd",,Fri Aug 03 08:28:15 +0000 2018
Rishabhshivhar6,"RT @TheLallantop: ठेले वाले पानी के सारे 572 सैंपल फेल, बर्फ वहां पर रखते हैं जहां लोगों ने सूसू की हो

https://t.co/NOtSNHuU0J https://t.c…","ठेले वाले पानी के सारे 572 सैंपल फेल, बर्फ वहां पर रखते हैं जहां लोगों ने सूसू की हो

https://t.co/NOtSNHuU0J https://t.co/gQBDNM30QN",Fri Aug 03 08:27:24 +0000 2018
PurchasingPRO,@UpstreamPMI 1st PGV contaminated groundwater which is why the area was on catchment water.  2nd fracking has long been linked to seismic activity. The snopes sources list an MIT study that indeed says fracking for geothermal energy is akin to fracking for natural gas or oil.,,Fri Aug 03 08:21:33 +0000 2018
MATErlandsson,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",Fri Aug 03 08:19:43 +0000 2018
cazarespr,"RT @nhbajar: 2/4 “...they discovered we had contaminated water at our base and that I and any of my family that lived there, as well as chi…","2/4 “...they discovered we had contaminated water at our base and that I and any of my family that lived there, as well as children that were born during that time frame, was going to get cancer. He said go get help and the US Govt will 100% take care of it. Appx 750,000 people.”",Fri Aug 03 08:15:46 +0000 2018
JuhanKiisk,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Fri Aug 03 08:15:15 +0000 2018
anthony0358,RT @DanaArschin: Investigation reveals #NYCHA water tanks have been contaminated. Story here @Fox5NY https://t.co/VGhDfTojf6,Investigation reveals #NYCHA water tanks have been contaminated. Story here @Fox5NY https://t.co/VGhDfTojf6,Fri Aug 03 08:08:50 +0000 2018
fundianabones,"RT @TheLallantop: ठेले वाले पानी के सारे 572 सैंपल फेल, बर्फ वहां पर रखते हैं जहां लोगों ने सूसू की हो

https://t.co/NOtSNHuU0J https://t.c…","ठेले वाले पानी के सारे 572 सैंपल फेल, बर्फ वहां पर रखते हैं जहां लोगों ने सूसू की हो

https://t.co/NOtSNHuU0J https://t.co/gQBDNM30QN",Fri Aug 03 08:08:11 +0000 2018
suesustainable,"@LaurenceWRT @HydroMarkG An issue with using reeds to treat contaminated water is the nasties accumulate in the seeds. Then should be disposed of as hazardous waste unless contaminant, e.g. Metals, can be recovered somehow.",,Fri Aug 03 08:02:42 +0000 2018
Kev371A,"@marcelsardo @RenieriArts Do these senators ever do any work for their constituents? They vote for money for wars and black ops around the world while US citizens can't afford healthcare, some drink contaminated water etc.  US voters should wake up.",,Fri Aug 03 08:00:06 +0000 2018
ashutosh7570,"RT @TheLallantop: ठेले वाले पानी के सारे 572 सैंपल फेल, बर्फ वहां पर रखते हैं जहां लोगों ने सूसू की हो

https://t.co/NOtSNHuU0J https://t.c…","ठेले वाले पानी के सारे 572 सैंपल फेल, बर्फ वहां पर रखते हैं जहां लोगों ने सूसू की हो

https://t.co/NOtSNHuU0J https://t.co/gQBDNM30QN",Fri Aug 03 07:59:49 +0000 2018
LegalKant,"RT @TheLallantop: ठेले वाले पानी के सारे 572 सैंपल फेल, बर्फ वहां पर रखते हैं जहां लोगों ने सूसू की हो

https://t.co/NOtSNHuU0J https://t.c…","ठेले वाले पानी के सारे 572 सैंपल फेल, बर्फ वहां पर रखते हैं जहां लोगों ने सूसू की हो

https://t.co/NOtSNHuU0J https://t.co/gQBDNM30QN",Fri Aug 03 07:58:14 +0000 2018
people_in_need,RT @nina_tramullas: Water is probably contaminated. However some people keep fishing and taking the risks... https://t.co/SVyUPvrYan,Water is probably contaminated. However some people keep fishing and taking the risks... https://t.co/SVyUPvrYan,Fri Aug 03 07:54:42 +0000 2018
ragini729,"RT @TheLallantop: ठेले वाले पानी के सारे 572 सैंपल फेल, बर्फ वहां पर रखते हैं जहां लोगों ने सूसू की हो

https://t.co/NOtSNHuU0J https://t.c…","ठेले वाले पानी के सारे 572 सैंपल फेल, बर्फ वहां पर रखते हैं जहां लोगों ने सूसू की हो

https://t.co/NOtSNHuU0J https://t.co/gQBDNM30QN",Fri Aug 03 07:54:37 +0000 2018
TheLallantop,"ठेले वाले पानी के सारे 572 सैंपल फेल, बर्फ वहां पर रखते हैं जहां लोगों ने सूसू की हो

https://t.co/NOtSNHuU0J https://t.co/gQBDNM30QN",,Fri Aug 03 07:52:53 +0000 2018
CLOVEKVTISNI,RT @nina_tramullas: Water is probably contaminated. However some people keep fishing and taking the risks... https://t.co/SVyUPvrYan,Water is probably contaminated. However some people keep fishing and taking the risks... https://t.co/SVyUPvrYan,Fri Aug 03 07:51:38 +0000 2018
KamukPishach,"@BiologistDan @TandonRaveena Thats why ""cancer rate"" is highest in Denmark...Stop eating this so called Omega-3 rich food from a contaminated source ie sea water...",,Fri Aug 03 07:32:03 +0000 2018
KamukPishach,"@BiologistDan @TandonRaveena Thats why ""cancer rate"" is highest in Denmark...Stop eating the so called Omega-3 rich food from a contaminated source ie sea water...",,Fri Aug 03 07:28:17 +0000 2018
nhbajar,"2/4 “...they discovered we had contaminated water at our base and that I and any of my family that lived there, as well as children that were born during that time frame, was going to get cancer. He said go get help and the US Govt will 100% take care of it. Appx 750,000 people.”",,Fri Aug 03 07:27:38 +0000 2018
Amreshkumar1910,RT @indialegalmedia: #DelhiHC Delhi HC issued fresh notice to East Delhi Municipal Corporation &amp; North Delhi Municipal Corporation to file…,#DelhiHC Delhi HC issued fresh notice to East Delhi Municipal Corporation &amp; North Delhi Municipal Corporation to file a status report within one week on a PIL filed by ‘Refrigerated Water Licensed Association’ Seeking direction to put a total ban on the sale of contaminated..,Fri Aug 03 07:18:46 +0000 2018
GrayMatterInk,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",Fri Aug 03 07:17:13 +0000 2018
vasudevan_k,"@Kanishk34973114 @IamRajii @ksmkkbookscom The water resources minister has said in Parliament 10 days back that water inside the Sterilite compound and outside is contaminated beyond permissible limits. Just because you give petitions with a hash tag, it does not help. https://t.co/1fQbwUf0ZB",,Fri Aug 03 07:16:11 +0000 2018
kqcatron,"Very grateful for this news piece @aropeik. My father, Fred Quimby, was the resident and scientist who spoke today at the press conference. Please keep covering this story. The contaminated waterways in New Durham desperately need to be cleaned up @nhpr https://t.co/rt0udSJriz",,Fri Aug 03 06:59:46 +0000 2018
richiebagsindia,"You think all #Jute or #Cottonbags🛍️👝👜are eco-friendly?♻️🌳Well, think again. Sometimes chemical treatment and contaminated water drainage can cause bio hazards. @richiebagsindia ensures a carbon neutral &amp; #CSR adherent production for all our #EcoBags👝👛.
#JuteBags #Bags https://t.co/Ryzy1S6J7C",,Fri Aug 03 06:54:38 +0000 2018
rightbrain0001,RT @DanaArschin: Investigation reveals #NYCHA water tanks have been contaminated. Story here @Fox5NY https://t.co/VGhDfTojf6,Investigation reveals #NYCHA water tanks have been contaminated. Story here @Fox5NY https://t.co/VGhDfTojf6,Fri Aug 03 06:52:49 +0000 2018
peacelove1967,"RT @zdboren: 1) This one https://t.co/1UoNwzuSYR 
2) Beware: explosions, contaminated water, falling house prices https://t.co/TZSMeakapP
3…","1) This one https://t.co/1UoNwzuSYR 
2) Beware: explosions, contaminated water, falling house prices https://t.co/TZSMeakapP
3) 'Oops the fracking boom was overhyped' https://t.co/wfdSWpLyfD (still chasing this one!)",Fri Aug 03 06:47:45 +0000 2018
